기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,남성연령대_10_직장_인구_수,남성연령대_20_직장_인구_수,남성연령대_30_직장_인구_수,남성연령대_40_직장_인구_수,남성연령대_50_직장_인구_수,남성연령대_60_이상_직장_인구_수,여성연령대_10_직장_인구_수,여성연령대_20_직장_인구_수,여성연령대_30_직장_인구_수,여성연령대_40_직장_인구_수,여성연령대_50_직장_인구_수,여성연령대_60_이상_직장_인구_수
20224,A,골목상권,3110040,중구회현체육센터(정화예술대남산캠퍼스),165,78,87,0,33,30,40,37,25,0,14,15,17,13,19,0,19,15,23,24,6
20224,D,발달상권,3120024,회현역,2167,1364,803,2,341,795,582,250,197,1,146,473,416,192,136,1,195,322,166,58,61
20224,A,골목상권,3110039,회현역 1번,49,26,23,0,2,8,12,14,13,0,0,4,9,8,5,0,2,4,3,6,8
20224,R,전통시장,3130024,남대문시장(자유상가),732,426,306,2,54,129,172,177,198,1,15,75,95,108,132,1,39,54,77,69,66
20224,R,전통시장,3130022,숭례문수입상가(남대문시장),1907,850,1057,0,330,855,598,113,11,0,55,378,338,70,9,0,275,477,260,43,2
20224,D,발달상권,3120045,남영동 먹자골목,4044,1580,2464,7,424,908,1421,1162,122,1,257,576,502,205,39,6,167,332,919,957,83
20224,R,전통시장,3130060,신흥시장,4,1,3,0,0,2,0,2,0,0,0,1,0,0,0,0,0,1,0,2,0
20224,A,골목상권,3110072,열정도,374,244,130,6,108,96,78,51,35,0,51,71,62,37,23,6,57,25,16,14,12
20224,A,골목상권,3110059,새남터성지,385,307,78,0,38,71,113,138,25,0,21,48,99,124,15,0,17,23,14,14,10
20204,U,관광특구,3001491,이태원 관광특구,5839,3064,2775,28,1377,2065,1290,768,311,18,514,986,777,541,228,10,863,1079,513,227,83
20224,A,골목상권,3110069,숙대입구,825,291,534,3,200,296,163,87,76,3,34,92,77,40,45,0,166,204,86,47,31
